Altitude	Temperature	Pressure	Fraction_HE	Fraction_H2
22.67	120.9	362000.0	0.1353	0.862
101.1	156.8	6703.0	0.1353	0.8629
201.0	157.4	111.7	0.1352	0.8621
301.6	198.1	2.022	0.1302	0.8673
350.3	208.5	0.4309	0.1092	0.889
400.3	378.4	0.1438	0.06846	0.93
500.0	548.2	0.04222	0.02569	0.9716
600.0	671.0	0.01736	0.01122	0.9846
699.6	743.2	0.007776	0.005165	0.9886
798.3	873.6	0.003996	0.002685	0.9886
900.6	863.5	0.00211	0.001426	0.9866
1001	880.1	0.001117	0.0007565	0.9828
