Altitude	Temperature	Pressure	HE[m-3]	H2[m-3]
2.186700e+02	1.601773e+02	7.709691e-03	4.785624e+17	3.052385e+18
2.196700e+02	1.604699e+02	7.533768e-03	4.675519e+17	2.982219e+18
2.206700e+02	1.607750e+02	7.359968e-03	4.566734e+17	2.912895e+18
2.216700e+02	1.610922e+02	7.188290e-03	4.459270e+17	2.844412e+18
2.226700e+02	1.614212e+02	7.018733e-03	4.353125e+17	2.776770e+18
2.236700e+02	1.617617e+02	6.851294e-03	4.248300e+17	2.709969e+18
2.246700e+02	1.621135e+02	6.685972e-03	4.144793e+17	2.644008e+18
2.256700e+02	1.624761e+02	6.522767e-03	4.042604e+17	2.578887e+18
2.266700e+02	1.628493e+02	6.361676e-03	3.941733e+17	2.514606e+18
2.276700e+02	1.632328e+02	6.202698e-03	3.842179e+17	2.451164e+18
2.286700e+02	1.636263e+02	6.045832e-03	3.743942e+17	2.388561e+18
2.296700e+02	1.640293e+02	5.891076e-03	3.647021e+17	2.326797e+18
2.306700e+02	1.644418e+02	5.738428e-03	3.551416e+17	2.265871e+18
2.316700e+02	1.648632e+02	5.587889e-03	3.457126e+17	2.205784e+18
2.326700e+02	1.652933e+02	5.439455e-03	3.364150e+17	2.146534e+18
2.336700e+02	1.657318e+02	5.293125e-03	3.272489e+17	2.088122e+18
2.346700e+02	1.661784e+02	5.148899e-03	3.182142e+17	2.030547e+18
2.356700e+02	1.666328e+02	5.006774e-03	3.093108e+17	1.973809e+18
2.366700e+02	1.670946e+02	4.866750e-03	3.005387e+17	1.917907e+18
2.376700e+02	1.675636e+02	4.728825e-03	2.918978e+17	1.862842e+18
2.386700e+02	1.680394e+02	4.592996e-03	2.833881e+17	1.808613e+18
2.396700e+02	1.685217e+02	4.459264e-03	2.750095e+17	1.755219e+18
2.406700e+02	1.690102e+02	4.327626e-03	2.667620e+17	1.702661e+18
2.416700e+02	1.695045e+02	4.198081e-03	2.586455e+17	1.650938e+18
2.426700e+02	1.700045e+02	4.070628e-03	2.506600e+17	1.600050e+18
2.436700e+02	1.705097e+02	3.945266e-03	2.428055e+17	1.549996e+18
2.446700e+02	1.710199e+02	3.821991e-03	2.350818e+17	1.500776e+18
2.456700e+02	1.715347e+02	3.700805e-03	2.274890e+17	1.452390e+18
2.466700e+02	1.720539e+02	3.581704e-03	2.200270e+17	1.404838e+18
2.476700e+02	1.725770e+02	3.464688e-03	2.126957e+17	1.358118e+18
2.486700e+02	1.731039e+02	3.349754e-03	2.054951e+17	1.312232e+18
2.496700e+02	1.736341e+02	3.236903e-03	1.984252e+17	1.267178e+18
2.506700e+02	1.741675e+02	3.126131e-03	1.914858e+17	1.222956e+18
2.516700e+02	1.747036e+02	3.017438e-03	1.846770e+17	1.179567e+18
2.526700e+02	1.752421e+02	2.910823e-03	1.779987e+17	1.137009e+18
2.536700e+02	1.757828e+02	2.806283e-03	1.714509e+17	1.095282e+18
2.546700e+02	1.763252e+02	2.703818e-03	1.650334e+17	1.054386e+18
2.556700e+02	1.768693e+02	2.603426e-03	1.587463e+17	1.014321e+18
2.566700e+02	1.774145e+02	2.505106e-03	1.525895e+17	9.750870e+17
2.576700e+02	1.779605e+02	2.408856e-03	1.465630e+17	9.366826e+17
2.586700e+02	1.785072e+02	2.314675e-03	1.406667e+17	8.991080e+17
2.596700e+02	1.790541e+02	2.222560e-03	1.349005e+17	8.623628e+17
2.606700e+02	1.796010e+02	2.132512e-03	1.292644e+17	8.264469e+17
2.616700e+02	1.801475e+02	2.044528e-03	1.237584e+17	7.913598e+17
2.626700e+02	1.806933e+02	1.958608e-03	1.183824e+17	7.571012e+17
2.636700e+02	1.812382e+02	1.874748e-03	1.131363e+17	7.236710e+17
2.646700e+02	1.817817e+02	1.792949e-03	1.080202e+17	6.910686e+17
2.656700e+02	1.823236e+02	1.713209e-03	1.030339e+17	6.592939e+17
2.666700e+02	1.828636e+02	1.635526e-03	9.817748e+16	6.283465e+17
2.676700e+02	1.834014e+02	1.559899e-03	9.345079e+16	5.982261e+17
2.686700e+02	1.839366e+02	1.486326e-03	8.885382e+16	5.689324e+17
2.696700e+02	1.844689e+02	1.414807e-03	8.438652e+16	5.404650e+17
2.706700e+02	1.849981e+02	1.345339e-03	8.004884e+16	5.128238e+17
2.716700e+02	1.855237e+02	1.277921e-03	7.584073e+16	4.860083e+17
2.726700e+02	1.860456e+02	1.212552e-03	7.176214e+16	4.600183e+17
2.736700e+02	1.865633e+02	1.149230e-03	6.781303e+16	4.348535e+17
2.746700e+02	1.870766e+02	1.087954e-03	6.399334e+16	4.105135e+17
2.756700e+02	1.875852e+02	1.028722e-03	6.030302e+16	3.869980e+17
2.766700e+02	1.880887e+02	9.715332e-04	5.674204e+16	3.643068e+17
2.776700e+02	1.885868e+02	9.163862e-04	5.331033e+16	3.424394e+17
2.786700e+02	1.890793e+02	8.632792e-04	5.000785e+16	3.213957e+17
2.796700e+02	1.895658e+02	8.122109e-04	4.683455e+16	3.011753e+17
2.806700e+02	1.900459e+02	7.631799e-04	4.379038e+16	2.817778e+17
2.816700e+02	1.905195e+02	7.161848e-04	4.087530e+16	2.632031e+17
2.826700e+02	1.909861e+02	6.712241e-04	3.808925e+16	2.454507e+17
2.836700e+02	1.914455e+02	6.282963e-04	3.543219e+16	2.285203e+17
2.846700e+02	1.918973e+02	5.874001e-04	3.290406e+16	2.124118e+17
2.856700e+02	1.923412e+02	5.485340e-04	3.050482e+16	1.971246e+17
2.866700e+02	1.927770e+02	5.116966e-04	2.823442e+16	1.826586e+17
2.876700e+02	1.932042e+02	4.768864e-04	2.609281e+16	1.690134e+17
2.886700e+02	1.936227e+02	4.441021e-04	2.407994e+16	1.561887e+17
2.896700e+02	1.940320e+02	4.133421e-04	2.219577e+16	1.441843e+17
2.906700e+02	1.944319e+02	3.846052e-04	2.044024e+16	1.329997e+17
2.916700e+02	1.948221e+02	3.578897e-04	1.881330e+16	1.226347e+17
2.926700e+02	1.952022e+02	3.331944e-04	1.731491e+16	1.130890e+17
2.936700e+02	1.955719e+02	3.105177e-04	1.594502e+16	1.043623e+17
2.946700e+02	1.959310e+02	2.898583e-04	1.470358e+16	9.645417e+16
2.956700e+02	1.962790e+02	2.712147e-04	1.359054e+16	8.936443e+16
2.966700e+02	1.966158e+02	2.545854e-04	1.260584e+16	8.309274e+16
2.976700e+02	1.969409e+02	2.399691e-04	1.174945e+16	7.763877e+16
2.986700e+02	1.972541e+02	2.273643e-04	1.102132e+16	7.300222e+16
2.996700e+02	1.975550e+02	2.167696e-04	1.042139e+16	6.918279e+16
3.006700e+02	1.978434e+02	2.081836e-04	9.949614e+15	6.618016e+16
3.016700e+02	1.981189e+02	2.016001e-04	9.605647e+15	6.399211e+16
3.026700e+02	1.983819e+02	1.959454e-04	9.320191e+15	6.217794e+16
3.036700e+02	1.986332e+02	1.903981e-04	9.040221e+15	6.040035e+16
3.046700e+02	1.988736e+02	1.849576e-04	8.765714e+15	5.865906e+16
3.056700e+02	1.991035e+02	1.796236e-04	8.496645e+15	5.695382e+16
3.066700e+02	1.993236e+02	1.743957e-04	8.232988e+15	5.528434e+16
3.076700e+02	1.995346e+02	1.692733e-04	7.974720e+15	5.365038e+16
3.086700e+02	1.997370e+02	1.642561e-04	7.721815e+15	5.205165e+16
3.096700e+02	1.999314e+02	1.593436e-04	7.474249e+15	5.048788e+16
3.106700e+02	2.001185e+02	1.545354e-04	7.231998e+15	4.895882e+16
3.116700e+02	2.002989e+02	1.498310e-04	6.995036e+15	4.746420e+16
3.126700e+02	2.004732e+02	1.452299e-04	6.763340e+15	4.600374e+16
3.136700e+02	2.006420e+02	1.407318e-04	6.536883e+15	4.457718e+16
3.146700e+02	2.008060e+02	1.363363e-04	6.315643e+15	4.318425e+16
3.156700e+02	2.009656e+02	1.320427e-04	6.099593e+15	4.182468e+16
3.166700e+02	2.011217e+02	1.278508e-04	5.888710e+15	4.049820e+16
3.176700e+02	2.012747e+02	1.237601e-04	5.682969e+15	3.920455e+16
3.186700e+02	2.014252e+02	1.197701e-04	5.482345e+15	3.794346e+16
3.196700e+02	2.015740e+02	1.158804e-04	5.286813e+15	3.671467e+16
3.206700e+02	2.017216e+02	1.120906e-04	5.096349e+15	3.551789e+16
3.216700e+02	2.018687e+02	1.084002e-04	4.910928e+15	3.435287e+16
3.226700e+02	2.020157e+02	1.048087e-04	4.730526e+15	3.321934e+16
3.236700e+02	2.021635e+02	1.013158e-04	4.555118e+15	3.211703e+16
3.246700e+02	2.023125e+02	9.792097e-05	4.384679e+15	3.104567e+16
3.256700e+02	2.024634e+02	9.462380e-05	4.219184e+15	3.000499e+16
3.266700e+02	2.026168e+02	9.142383e-05	4.058609e+15	2.899473e+16
3.276700e+02	2.027734e+02	8.832063e-05	3.902930e+15	2.801462e+16
3.286700e+02	2.029336e+02	8.531376e-05	3.752121e+15	2.706439e+16
3.296700e+02	2.030982e+02	8.240277e-05	3.606158e+15	2.614377e+16
3.306700e+02	2.032678e+02	7.958722e-05	3.465016e+15	2.525250e+16
3.316700e+02	2.034430e+02	7.686668e-05	3.328671e+15	2.439031e+16
3.326700e+02	2.036244e+02	7.424070e-05	3.197098e+15	2.355692e+16
3.336700e+02	2.038125e+02	7.170884e-05	3.070273e+15	2.275208e+16
3.346700e+02	2.040081e+02	6.927066e-05	2.948169e+15	2.197551e+16
3.356700e+02	2.042118e+02	6.692573e-05	2.830764e+15	2.122694e+16
3.366700e+02	2.044241e+02	6.467358e-05	2.718033e+15	2.050611e+16
3.376700e+02	2.046456e+02	6.251380e-05	2.609950e+15	1.981276e+16
3.386700e+02	2.048771e+02	6.044593e-05	2.506491e+15	1.914660e+16
3.396700e+02	2.051190e+02	5.846953e-05	2.407632e+15	1.850738e+16
3.406700e+02	2.053721e+02	5.658417e-05	2.313347e+15	1.789483e+16
3.416700e+02	2.056369e+02	5.478940e-05	2.223612e+15	1.730868e+16
3.426700e+02	2.059140e+02	5.308478e-05	2.138403e+15	1.674865e+16
3.436700e+02	2.062041e+02	5.146987e-05	2.057695e+15	1.621449e+16
3.446700e+02	2.065078e+02	4.994423e-05	1.981463e+15	1.570593e+16
3.456700e+02	2.068256e+02	4.850742e-05	1.909682e+15	1.522269e+16
3.466700e+02	2.071583e+02	4.715899e-05	1.842328e+15	1.476452e+16
3.476700e+02	2.075064e+02	4.589851e-05	1.779377e+15	1.433113e+16
3.486700e+02	2.078705e+02	4.472553e-05	1.720803e+15	1.392227e+16
3.496700e+02	2.082513e+02	4.363962e-05	1.666581e+15	1.353767e+16
3.506700e+02	2.086673e+02	4.263558e-05	1.616436e+15	1.317573e+16
3.516700e+02	2.093084e+02	4.166219e-05	1.567651e+15	1.282211e+16
3.526700e+02	2.102178e+02	4.070563e-05	1.519503e+15	1.247303e+16
