Altitude	Temperature	Pressure	HE[m-3]	H2[m-3]	Total_mass_density
8.250000e+02	8.718951e+02	3.380182e-07	6.449520e+10	2.748710e+13	6.764890e-07
8.260000e+02	8.717795e+02	3.358998e-07	6.370127e+10	2.731338e+13	6.722197e-07
8.270000e+02	8.716612e+02	3.337944e-07	6.291576e+10	2.714119e+13	6.679768e-07
8.280000e+02	8.715404e+02	3.317020e-07	6.213863e+10	2.697052e+13	6.637602e-07
8.290000e+02	8.714172e+02	3.296226e-07	6.136983e+10	2.680134e+13	6.595699e-07
8.300000e+02	8.712916e+02	3.275561e-07	6.060932e+10	2.663364e+13	6.554058e-07
8.310000e+02	8.711638e+02	3.255024e-07	5.985705e+10	2.646741e+13	6.512677e-07
8.320000e+02	8.710340e+02	3.234616e-07	5.911299e+10	2.630261e+13	6.471556e-07
8.330000e+02	8.709022e+02	3.214334e-07	5.837710e+10	2.613925e+13	6.430692e-07
8.340000e+02	8.707685e+02	3.194180e-07	5.764931e+10	2.597729e+13	6.390086e-07
8.350000e+02	8.706330e+02	3.174152e-07	5.692961e+10	2.581673e+13	6.349736e-07
8.360000e+02	8.704960e+02	3.154250e-07	5.621793e+10	2.565754e+13	6.309641e-07
8.370000e+02	8.703574e+02	3.134473e-07	5.551425e+10	2.549971e+13	6.269800e-07
8.380000e+02	8.702174e+02	3.114821e-07	5.481851e+10	2.534321e+13	6.230211e-07
8.390000e+02	8.700760e+02	3.095293e-07	5.413067e+10	2.518804e+13	6.190874e-07
8.400000e+02	8.699336e+02	3.075888e-07	5.345069e+10	2.503418e+13	6.151788e-07
8.410000e+02	8.697900e+02	3.056607e-07	5.277853e+10	2.488160e+13	6.112951e-07
8.420000e+02	8.696455e+02	3.037449e-07	5.211415e+10	2.473029e+13	6.074363e-07
8.430000e+02	8.695001e+02	3.018412e-07	5.145749e+10	2.458023e+13	6.036022e-07
8.440000e+02	8.693541e+02	2.999497e-07	5.080852e+10	2.443140e+13	5.997928e-07
8.450000e+02	8.692074e+02	2.980703e-07	5.016720e+10	2.428379e+13	5.960078e-07
8.460000e+02	8.690601e+02	2.962030e-07	4.953348e+10	2.413738e+13	5.922473e-07
8.470000e+02	8.689126e+02	2.943476e-07	4.890732e+10	2.399216e+13	5.885110e-07
8.480000e+02	8.687647e+02	2.925042e-07	4.828867e+10	2.384809e+13	5.847990e-07
8.490000e+02	8.686166e+02	2.906727e-07	4.767749e+10	2.370517e+13	5.811110e-07
8.500000e+02	8.684686e+02	2.888530e-07	4.707375e+10	2.356339e+13	5.774470e-07
8.510000e+02	8.683205e+02	2.870451e-07	4.647739e+10	2.342271e+13	5.738069e-07
8.520000e+02	8.681727e+02	2.852489e-07	4.588838e+10	2.328313e+13	5.701905e-07
8.530000e+02	8.680251e+02	2.834644e-07	4.530666e+10	2.314462e+13	5.665978e-07
8.540000e+02	8.678780e+02	2.816915e-07	4.473221e+10	2.300718e+13	5.630286e-07
8.550000e+02	8.677313e+02	2.799301e-07	4.416496e+10	2.287077e+13	5.594829e-07
8.560000e+02	8.675853e+02	2.781803e-07	4.360489e+10	2.273539e+13	5.559604e-07
8.570000e+02	8.674400e+02	2.764419e-07	4.305195e+10	2.260102e+13	5.524612e-07
8.580000e+02	8.672956e+02	2.747150e-07	4.250610e+10	2.246763e+13	5.489851e-07
8.590000e+02	8.671521e+02	2.729994e-07	4.196728e+10	2.233522e+13	5.455319e-07
8.600000e+02	8.670098e+02	2.712950e-07	4.143547e+10	2.220376e+13	5.421017e-07
8.610000e+02	8.668686e+02	2.696020e-07	4.091061e+10	2.207323e+13	5.386942e-07
8.620000e+02	8.667287e+02	2.679201e-07	4.039266e+10	2.194363e+13	5.353094e-07
8.630000e+02	8.665903e+02	2.662494e-07	3.988159e+10	2.181492e+13	5.319472e-07
8.640000e+02	8.664534e+02	2.645897e-07	3.937734e+10	2.168710e+13	5.286074e-07
8.650000e+02	8.663181e+02	2.629411e-07	3.887988e+10	2.156015e+13	5.252900e-07
8.660000e+02	8.661846e+02	2.613035e-07	3.838916e+10	2.143404e+13	5.219947e-07
8.670000e+02	8.660529e+02	2.596767e-07	3.790514e+10	2.130877e+13	5.187216e-07
8.680000e+02	8.659233e+02	2.580609e-07	3.742777e+10	2.118431e+13	5.154706e-07
8.690000e+02	8.657957e+02	2.564558e-07	3.695702e+10	2.106065e+13	5.122414e-07
8.700000e+02	8.656704e+02	2.548616e-07	3.649283e+10	2.093776e+13	5.090340e-07
8.710000e+02	8.655474e+02	2.532780e-07	3.603517e+10	2.081564e+13	5.058483e-07
8.720000e+02	8.654268e+02	2.517051e-07	3.558400e+10	2.069426e+13	5.026842e-07
